Name,SMILES,Flavor type,Data resource,Label
549-56-4,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,Bitter,BitterDB,[1]
,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[NH+]3CC4C=C)O,Bitter,BitterDB,[1]
"469-02-3,54378-50-6,54378-86-8",CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,Bitter,BitterDB,[1]
6119-70-6,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,Bitter,BitterDB,[1]
100-52-7,C1=CC=C(C=C1)C=O,Bitter,BitterDB,[1]
7487-88-9,[O-]S(=O)(=O)[O-].[Mg+2],Bitter,BitterDB,[1]
468-28-0,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,Bitter,BitterDB,[1]
,CC=CC1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,Bitter,BitterDB,[1]
26472-41-3,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,Bitter,BitterDB,[1]
119-53-9,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,Bitter,BitterDB,[1]
"130-95-0,13187-99-0,1407-83-6",COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,Bitter,BitterDB,[1]
60-93-5,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl.Cl,Bitter,BitterDB,[1]
130-89-2,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.Cl,Bitter,BitterDB,[1]
1362-42-1,CC1C2CCC(C3C4C5C=C(C6(C4C(=C3C2OC1=O)C)C5C(CCC7C6OC(=O)C7C)(C)O)C)(C)O,Bitter,BitterDB,[1]
,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,Bitter,BitterDB,[1]
84692-91-1,CC1=CCC23C1C4C(CCC2(O3)C)C(=C)C(=O)O4,Bitter,BitterDB,[1]
"10190-99-5,12770-90-0,313-67-7",COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,Bitter,BitterDB,[1]
64845-92-7,CC1=CC2C(CCC(=C)C(CC1)O)C(=C)C(=O)O2,Bitter,BitterDB,[1]
1958/8/2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Bitter,BitterDB,[1]
10118-56-6,CC1C(CC2(C(C1(CC(C3=COC=C3)O)C=O)CCC(C2(C)O)O)C)OC(=O)C,Bitter,BitterDB,[1]
"103802-83-1,91-64-5,97549-54-7",C1=CC=C2C(=C1)C=CC(=O)O2,Bitter,BitterDB,[1]
,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,Bitter,BitterDB,[1]
55297-87-5,CCCCCCCC=CC(C#CC#CC(C=C)O)O,Bitter,BitterDB,[1]
"128-62-1,1368-39-4,6035-40-1",CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,Bitter,BitterDB,[1]
"58-74-2,61-25-6",COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,Bitter,BitterDB,[1]
20554-84-1,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,Bitter,BitterDB,[1]
76-78-8,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,Bitter,BitterDB,[1]
446-86-6,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Bitter,BitterDB,[1]
"1613-76-9,27208-38-4,55-21-0",C1=CC=C(C=C1)C(=O)N,Bitter,BitterDB,[1]
78-44-4,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Bitter,BitterDB,[1]
"337376-15-5,55-56-1",C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,Bitter,BitterDB,[1]
"113-92-8,132-22-9,46970-45-0",CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,Bitter,BitterDB,[1]
58-73-1,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Bitter,BitterDB,[1]
"150969-57-6,19-11-4,5336-12-9,722544-51-6,972-02-1",C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Bitter,BitterDB,[1]
102-08-9,C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,Bitter,BitterDB,[1]
1115-15-7,C=CS(=O)C=C,Bitter,BitterDB,[1]
530-78-9,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,Bitter,BitterDB,[1]
"337376-15-5,52-86-8,64461-95-6",C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Bitter,BitterDB,[1]
532-32-1,C1=CC=C(C=C1)C(=O)[O-].[Na+],Bitter,BitterDB,[1]
"100660-17-1,337376-15-5,34819-86-8,59-43-8,67-03-8,70-16-6",CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,Bitter,BitterDB,[1]
"56-75-7,59112-59-3,85666-84-8",C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Bitter,BitterDB,[1]
146-48-5,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Bitter,BitterDB,[1]
21018-84-8,C=CC1C2CCOC(=O)C2=COC1OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,Bitter,BitterDB,[1]
"28374-89-2,34086-69-6,71800-99-2",CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,Bitter,BitterDB,[1]
142628-20-4,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,Bitter,BitterDB,[1]
"468-27-9,476-56-2",CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,Bitter,BitterDB,[1]
,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,Bitter,BitterDB,[1]
"569-83-5,6754-58-1",CC(=CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)C,Bitter,BitterDB,[1]
"125-71-3,18046-32-7",CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,Bitter,BitterDB,[1]
,C(#N)[S-].[Na+],Bitter,BitterDB,[1]
,CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,Bitter,BitterDB,[1]
,CC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,Bitter,BitterDB,[1]
,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,Bitter,BitterDB,[1]
68127-23-1,CC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,Bitter,BitterDB,[1]
,CCC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,Bitter,BitterDB,[1]
"139-05-9,61373-78-2",C1CCC(CC1)NS(=O)(=O)[O-].[Na+],Bitter,BitterDB,[1]
