,,,,bitter,sweet,tasteless
public_id,name,SMILES,InDomain,pred,pred,pred
FDB001621,5-Methylthiopentylglucosinolate,CSCCCCCC(S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=NOS(O)(=O)=O,TRUE,0.01,0,1
FDB014183,Araloside S1,CCCCCCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2OC2OCC(O)C(O)C2O)C1O,TRUE,0.01,0,1
FDB017763,6-(Methylthio)hexyl glucosinolate,CSCCCCCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.01,0,1
FDB018998,Congmunoside XIV,CCCCOC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(CCC43C)C(=O)OC3OC(CO)C(O)C(O)C3O)C2(C)C)C(OC2OCC(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O,TRUE,0.01,0,1
FDB008379,3-(Methylthio)-1-propanol,CSCCCO,TRUE,0.01,0.01,0.99000001
FDB003049,Hexadecanedioic acid,OC(=O)CCCCCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB003340,Octanedioic acid,OC(=O)CCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB007134,Phellogenic acid,OC(=O)CCCCCCCCCCCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB007145,Tetracosanedioic acid,OC(=O)CCCCCCCCCCCCCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB012192,Azelaic acid,OC(=O)CCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022148,Dodecanedioic acid,OC(=O)CCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022239,Octadecanedioic acid,OC(=O)CCCCCCCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022247,Sebacic acid,OC(=O)CCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022283,Pimelic acid,OC(=O)CCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022293,Tetradecanedioic acid,OC(=O)CCCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022300,Undecanedioic acid,OC(=O)CCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB022963,"1,11-Undecanedicarboxylic acid",OC(=O)CCCCCCCCCCCC(O)=O,TRUE,0,0.01,0.99000001
FDB017755,Glucoerucin,CSCCCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.029999999,0,0.99000001
FDB001625,n-Hexyl glucosinolate,CCCCCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.01,0,0.99000001
FDB009514,Glyceryl monooleate,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,TRUE,0.01,0,0.99000001
FDB016151,4-Methyl-2-(1-methylethyl)thiazole,CC(C)C1=NC(C)=CS1,TRUE,0,0,0.99000001
FDB022781,5'-Deoxyadenosine,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12,TRUE,0,0,0.99000001
FDB021763,Methional diethyl acetal,CCOC(CCSC)OCC,TRUE,0,0.059999999,0.980000019
FDB023803,3'-O-Methyladenosine,CO[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N,TRUE,0,0.02,0.980000019
FDB021097,Edulisin V,CCC(C)C(=O)OC1C(OC2=C1C1=C(C=C2)C=CC(=O)O1)C(C)(C)OC(=O)C(\C)=C/C,TRUE,0.050000001,0,0.980000019
FDB000162,Quercetin 3-O-glucosyl-xyloside,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,TRUE,0.029999999,0,0.980000019
FDB004134,Quercetin 3-O-(2-O-beta-D-xylopyranosyl-beta-D-galactopyranoside),OC[C@H]1O[C@@H](O)[C@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@H]2O)[C@H]1O,TRUE,0.029999999,0,0.980000019
FDB006895,Quercetin 3-gluco-xyloside,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=C(C(O)=CC(O)=C4)C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,TRUE,0.029999999,0,0.980000019
FDB017772,Pentyl glucosinolate,CCCCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.01,0,0.980000019
FDB023100,Arabinosylhypoxanthine,OC[C@H]1OC([C@@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O,TRUE,0,0,0.980000019
FDB011731,(S)-3-Methylthiohexyl acetate,CCCC(CCOC(C)=O)SC,TRUE,0,0.050000001,0.970000029
FDB023796,20-Hydroxyeicosatetraenoic acid,OCCCCCC=CCC=CCC=CCC=CCCCC(O)=O,TRUE,0.039999999,0.01,0.970000029
FDB023364,2'-O-Methyladenosine,COC1C(O)C(CO)OC1N1C=NC2=C(N)N=CN=C12,TRUE,0,0.01,0.970000029
FDB008322,Pantothenic acid,CC(C)(CO)C(O)C(=O)NCCC(O)=O,TRUE,0.039999999,0,0.970000029
FDB000202,Quercetin 3-O-xylosyl-rutinoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)[C@H]1O,TRUE,0.02,0,0.970000029
FDB018236,Rhamnetin 3-(4-rhamnosylrhamnoside),COC1=CC(O)=C2C(=O)C(OC3OC(C)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)=C(OC2=C1)C1=CC(O)=C(O)C=C1,TRUE,0.029999999,0.039999999,0.959999979
FDB002575,"5,7,4'-Trimethylcatechin",COC1=CC(OC)=C2CC(O)C(OC2=C1)C1=CC(O)=C(OC)C=C1,TRUE,0.01,0.02,0.959999979
FDB003554,Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,TRUE,0,0.02,0.959999979
FDB020248,Quercetin 3-xylosyl-(1->6)-glucoside,OC1COC(OCC2OC(OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)C(O)C(O)C2O)C(O)C1O,TRUE,0.090000004,0.01,0.959999979
FDB004522,Kaempferol 3-O-rhamnodiglucoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC4=C(OC5=C(C(O)=CC(O)=C5)C4=O)C4=CC=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,TRUE,0.050000001,0.01,0.959999979
FDB004576,Quercetin 3-O-rhamnodiglucoside,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC[C@H]3O[C@@H](OC4=C(OC5=C(C(O)=CC(O)=C5)C4=O)C4=CC(O)=C(O)C=C4)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,TRUE,0.050000001,0.01,0.959999979
FDB013764,Citrunobin,COC1=C2C=CC(C)(C)OC2=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C1,TRUE,0.270000011,0,0.959999979
FDB017759,Glucoibervirin,CSCCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.090000004,0,0.959999979
FDB002804,Archangelicin,C\C=C(\C)C(=O)OC1C(OC2=C1C1=C(C=C2)C=CC(=O)O1)C(C)(C)OC(=O)C(\C)=C/C,TRUE,0.059999999,0,0.949999988
FDB020315,4'-Methylliquiritigenin 7-rhamnoside,COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(OC1OC(C)C(O)C(O)C1O)C=C2,TRUE,0.050000001,0.039999999,0.939999998
FDB017357,"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-1-penten-3-one",CCC(=O)\C=C\C1=C(C)CCCC1(C)C,TRUE,0.01,0.039999999,0.939999998
FDB001983,Taxifolin 3-xyloside,OC1COC(OC2C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)C(O)C1O,TRUE,0.050000001,0.02,0.939999998
FDB021691,Luteolin 7-xyloside,OC1COC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C(O)=C2)C(O)C1O,TRUE,0.050000001,0.02,0.939999998
FDB021864,Myricetin 3-arabinoside,O[C@H]1CO[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,TRUE,0.050000001,0.02,0.939999998
FDB001871,Progesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,TRUE,0.209999993,0,0.939999998
FDB017778,4-Methylpentyl glucosinolate,CC(C)CCC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.129999995,0,0.939999998
FDB019555,4-Mercaptobutyl glucosinolate,OCC1OC(S\C(CCCCS)=N\OS(O)(=O)=O)C(O)C(O)C1O,TRUE,0.109999999,0,0.939999998
FDB016170,"p-Mentha-2,4(8)-dien-9,3-olide",CC1CCC2=C(C)C(=O)OC2=C1,TRUE,0.059999999,0,0.939999998
FDB017757,Glucoraphenin,CS(=O)\C=C\CC\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,TRUE,0.050000001,0,0.939999998
FDB013905,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1-penten-3-one",CCC(=O)\C=C\C1C(C)=CCCC1(C)C,TRUE,0,0.07,0.930000007
FDB003220,"2,5-Dihydro-2,4,5-trimethyloxazole",CC1OC(C)C(C)=N1,TRUE,0.25,0,0.930000007
FDB017783,6-Heptenyl glucosinolate,OCC1OC(S\C(CCCCCC=C)=N\OS(O)(=O)=O)C(O)C(O)C1O,TRUE,0.100000001,0,0.930000007
FDB021132,Amaranthussaponin III,CC1OC(OC2C(O)C(OC3C(O)CC4(C)C(CCC5(C)C4CC=C4C6CC(=C)CCC6(CCC54C)C(=O)OC4OC(CO)C(O)C(O)C4O)C3(C)C)OC(C2O)C(O)=O)C(O)C(O)C1O,TRUE,0.02,0.079999998,0.920000017
FDB013374,Betavulgaroside VIII,CC1(C)C(CCC2(C)C1CCC1(C)C2CC=C2C3CC(=C)CCC3(CCC12C)C(=O)OC1OC(CO)C(O)C(O)C1O)OC1OC(C(O)C(OC(OCC(O)=O)C(O)C(O)=O)C1O)C(O)=O,TRUE,0.109999999,0.01,0.920000017
FDB013375,Betavulgaroside X,CC1(C)C(CCC2(C)C1CCC1(C)C2CC=C2C3CC(=C)CCC3(CCC12C)C(=O)OC1OC(CO)C(O)C(O)C1O)OC1OC(C(O)C(OC2OCC(O)C(O)C2O)C1O)C(O)=O,TRUE,0.109999999,0.01,0.920000017
FDB020493,3'-(1''-(3-Methylbutanoyl))-angeloyl vaginidiol,C\C=C(\C)C(=O)OC1C(OC2=C1C1=C(C=C2)C=CC(=O)O1)C(C)(C)OC(=O)CC(C)C,TRUE,0.180000007,0,0.910000026
FDB001709,Isosakuranetin 7-[arabinosyl-(1->6)-glucoside],COC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O,TRUE,0.079999998,0,0.910000026
FDB011491,Fagomine,OCC1NCCC(O)C1O,TRUE,0.029999999,0,0.910000026
FDB008727,3-(2-Methylpropylidene)-1(3H)-isobenzofuranone,CC(C)\C=C1\OC(=O)C2=CC=CC=C12,TRUE,0.029999999,0.059999999,0.899999976
FDB001530,Theasaponin,[H][C@@]12CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](OC(C)=O)[C@]1(CO)[C@H](O)C[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O[C@@H]4OC[C@H](O)[C@H](O)[C@H]4O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)C(O)=O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C,TRUE,0.07,0.029999999,0.899999976
FDB001790,Chakasaponin I,OC[C@H]1O[C@@H](O[C@H]2C(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](OC(C)=O)[C@]6(CO)[C@H](O)C[C@@]54C)C3(C)C)O[C@H](C(O)=O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,TRUE,0.07,0.029999999,0.899999976
FDB001810,Floratheasaponin D,OC[C@H]1O[C@@]([H])(O[C@@H]2[C@@H](O[C@]3([H])OC[C@H](O)[C@H](O)[C@H]3O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H](O[C@@]2([H])O[C@H]2CC[C@@]3(C)[C@@]([H])(CC[C@]4(C)[C@]3([H])CC=C3[C@]5([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C/C)[C@H](OC(=O)C)[C@]5(CO)[C@H](O)C[C@@]43C)C2(C)C)C(O)=O)[C@H](O)[C@@H](O)[C@H]1O,TRUE,0.07,0.029999999,0.899999976
